,quad_id,lat,lat2,lon,lon2,geometry
1,2,40.600037,40.605037,-74.092182,-74.08718199999998,"POLYGON ((-74.08718199999998 40.600037, -74.08718199999998 40.605037, -74.092182 40.605037, -74.092182 40.600037, -74.08718199999998 40.600037))"
4,5,40.600037,40.605037,-74.077182,-74.07218199999998,"POLYGON ((-74.07218199999998 40.600037, -74.07218199999998 40.605037, -74.077182 40.605037, -74.077182 40.600037, -74.07218199999998 40.600037))"
15,16,40.600037,40.605037,-74.02218199999999,-74.01718199999999,"POLYGON ((-74.01718199999999 40.600037, -74.01718199999999 40.605037, -74.02218199999999 40.605037, -74.02218199999999 40.600037, -74.01718199999999 40.600037))"
16,17,40.600037,40.605037,-74.01718199999999,-74.012182,"POLYGON ((-74.012182 40.600037, -74.012182 40.605037, -74.01718199999999 40.605037, -74.01718199999999 40.600037, -74.012182 40.600037))"
18,19,40.600037,40.605037,-74.00718199999999,-74.00218199999999,"POLYGON ((-74.00218199999999 40.600037, -74.00218199999999 40.605037, -74.00718199999999 40.605037, -74.00718199999999 40.600037, -74.00218199999999 40.600037))"
19,20,40.600037,40.605037,-74.00218199999999,-73.997182,"POLYGON ((-73.997182 40.600037, -73.997182 40.605037, -74.00218199999999 40.605037, -74.00218199999999 40.600037, -73.997182 40.600037))"
20,21,40.600037,40.605037,-73.997182,-73.99218199999999,"POLYGON ((-73.99218199999999 40.600037, -73.99218199999999 40.605037, -73.997182 40.605037, -73.997182 40.600037, -73.99218199999999 40.600037))"
21,22,40.600037,40.605037,-73.99218199999999,-73.98718199999999,"POLYGON ((-73.98718199999999 40.600037, -73.98718199999999 40.605037, -73.99218199999999 40.605037, -73.99218199999999 40.600037, -73.98718199999999 40.600037))"
22,23,40.600037,40.605037,-73.98718199999999,-73.982182,"POLYGON ((-73.982182 40.600037, -73.982182 40.605037, -73.98718199999999 40.605037, -73.98718199999999 40.600037, -73.982182 40.600037))"
23,24,40.600037,40.605037,-73.982182,-73.97718199999998,"POLYGON ((-73.97718199999998 40.600037, -73.97718199999998 40.605037, -73.982182 40.605037, -73.982182 40.600037, -73.97718199999998 40.600037))"
24,25,40.600037,40.605037,-73.97718199999998,-73.97218199999999,"POLYGON ((-73.97218199999999 40.600037, -73.97218199999999 40.605037, -73.97718199999998 40.605037, -73.97718199999998 40.600037, -73.97218199999999 40.600037))"
25,26,40.600037,40.605037,-73.97218199999999,-73.967182,"POLYGON ((-73.967182 40.600037, -73.967182 40.605037, -73.97218199999999 40.605037, -73.97218199999999 40.600037, -73.967182 40.600037))"
26,27,40.600037,40.605037,-73.967182,-73.96218199999998,"POLYGON ((-73.96218199999998 40.600037, -73.96218199999998 40.605037, -73.967182 40.605037, -73.967182 40.600037, -73.96218199999998 40.600037))"
27,28,40.600037,40.605037,-73.96218199999998,-73.95718199999999,"POLYGON ((-73.95718199999999 40.600037, -73.95718199999999 40.605037, -73.96218199999998 40.605037, -73.96218199999998 40.600037, -73.95718199999999 40.600037))"
28,29,40.600037,40.605037,-73.95718199999999,-73.952182,"POLYGON ((-73.952182 40.600037, -73.952182 40.605037, -73.95718199999999 40.605037, -73.95718199999999 40.600037, -73.952182 40.600037))"
29,30,40.600037,40.605037,-73.952182,-73.94718199999998,"POLYGON ((-73.94718199999998 40.600037, -73.94718199999998 40.605037, -73.952182 40.605037, -73.952182 40.600037, -73.94718199999998 40.600037))"
